Date : 2024-03-17 23:49:27
Directory : /opt/projects/swiftkube
Total : 8871 files,  2953166 codes, 17663 comments, 334877 blanks, all 3305706 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |      8,758 |  2,939,693 |          0 |    329,418 |  3,269,111 |
| Protocol Buffers |        109 |     11,648 |     17,663 |      5,395 |     34,706 |
| Go Checksum File |          1 |      1,279 |          0 |          1 |      1,280 |
| Go Template File |          2 |        335 |          0 |         58 |        393 |
| Go Module File   |          1 |        211 |          0 |          5 |        216 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |      8,871 |  2,953,166 |     17,663 |    334,877 |  3,305,706 |
| . (Files)                                                                                                                                               |          2 |      1,490 |          0 |          6 |      1,496 |
| cmd                                                                                                                                                     |          7 |        326 |          0 |         82 |        408 |
| cmd/appmanager                                                                                                                                          |          3 |        271 |          0 |         59 |        330 |
| cmd/appmanager (Files)                                                                                                                                  |          1 |         14 |          0 |          7 |         21 |
| cmd/appmanager/app                                                                                                                                      |          2 |        257 |          0 |         52 |        309 |
| cmd/genesis-agent                                                                                                                                       |          1 |         26 |          0 |         10 |         36 |
| cmd/genesis-server                                                                                                                                      |          1 |          3 |          0 |          3 |          6 |
| cmd/genesisctl                                                                                                                                          |          1 |         12 |          0 |          3 |         15 |
| cmd/podmanager                                                                                                                                          |          1 |         14 |          0 |          7 |         21 |
| ctlplugin                                                                                                                                               |          1 |          3 |          0 |          3 |          6 |
| ctlplugin/deploy                                                                                                                                        |          1 |          3 |          0 |          3 |          6 |
| hack                                                                                                                                                    |          1 |          5 |          0 |          3 |          8 |
| pkg                                                                                                                                                     |         35 |      3,119 |          0 |        605 |      3,724 |
| pkg/apis                                                                                                                                                |          5 |        216 |          0 |         42 |        258 |
| pkg/apis/swiftdeploymentcontroller                                                                                                                      |          5 |        216 |          0 |         42 |        258 |
| pkg/apis/swiftdeploymentcontroller (Files)                                                                                                              |          1 |          4 |          0 |          2 |          6 |
| pkg/apis/swiftdeploymentcontroller/v1alpha1                                                                                                             |          4 |        212 |          0 |         40 |        252 |
| pkg/cgroup                                                                                                                                              |          1 |        303 |          0 |         67 |        370 |
| pkg/controller                                                                                                                                          |          2 |        540 |          0 |         74 |        614 |
| pkg/controller/swiftdeployment                                                                                                                          |          2 |        540 |          0 |         74 |        614 |
| pkg/generated                                                                                                                                           |         21 |      1,034 |          0 |        212 |      1,246 |
| pkg/generated/clientset                                                                                                                                 |         13 |        589 |          0 |        117 |        706 |
